initial_alias,converted_alias,name,description,namespace
ENSG00000228791,ENSG00000228791,THRB-AS1,THRB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44515],"ARRAYEXPRESS,ENSG"
ENSG00000213846,None,None,None,
ENSG00000272282,ENSG00000272282,LINC02084,long intergenic non-protein coding RNA 2084 [Source:HGNC Symbol;Acc:HGNC:52934],"ARRAYEXPRESS,ENSG"
ENSG00000228214,None,None,None,
ENSG00000261468,ENSG00000261468,AC096921.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000261572,ENSG00000261572,AC097639.1,"novel transcript, intronic to CMTM8","ARRAYEXPRESS,ENSG"
ENSG00000271324,None,None,None,
ENSG00000271643,ENSG00000271643,AC112220.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000271020,None,None,None,
ENSG00000271835,None,None,None,
ENSG00000224858,ENSG00000224858,RPL29P11,ribosomal protein L29 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:36905],"ARRAYEXPRESS,ENSG"
ENSG00000271993,ENSG00000271993,AC126118.1,"novel transcript, antisense to LRRFIP2","ARRAYEXPRESS,ENSG"
ENSG00000272452,None,None,None,
ENSG00000234287,ENSG00000234287,AC099560.2,ribosomal protein S27 (RPS27) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000232354,ENSG00000232354,VIPR1-AS1,VIPR1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40610],"ARRAYEXPRESS,ENSG"
ENSG00000271941,None,None,None,
ENSG00000234617,ENSG00000234617,SNRK-AS1,SNRK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41269],"ARRAYEXPRESS,ENSG"
ENSG00000272121,ENSG00000272121,AC006058.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000261786,ENSG00000261786,AC006058.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272077,ENSG00000272077,AC124045.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000244357,ENSG00000244357,RN7SL145P,"RNA, 7SL, cytoplasmic 145, pseudogene [Source:HGNC Symbol;Acc:HGNC:46161]","ARRAYEXPRESS,ENSG"
ENSG00000206549,ENSG00000206549,AC109583.1,Probable threonine protease PRSS50  [Source:UniProtKB/Swiss-Prot;Acc:Q9UI38],"ARRAYEXPRESS,ENSG"
ENSG00000188086,ENSG00000188086,PRSS45P,"serine protease 45, pseudogene [Source:HGNC Symbol;Acc:HGNC:30717]","ARRAYEXPRESS,ENSG"
ENSG00000227398,ENSG00000227398,KIF9-AS1,KIF9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26822],"ARRAYEXPRESS,ENSG"
ENSG00000260236,ENSG00000260236,AC099778.1,"novel transcript, antisense to PTPN23","ARRAYEXPRESS,ENSG"
ENSG00000228638,ENSG00000228638,FCF1P2,FCF1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44614],"ARRAYEXPRESS,ENSG"
ENSG00000270441,ENSG00000270441,AC135506.1,"laminin, beta 1 (LAMB1) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000225399,ENSG00000225399,AC121247.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000230454,ENSG00000230454,U73166.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273356,ENSG00000273356,LINC02019,long intergenic non-protein coding RNA 2019 [Source:HGNC Symbol;Acc:HGNC:52854],"ARRAYEXPRESS,ENSG"
ENSG00000179837,None,None,None,
ENSG00000239557,ENSG00000239557,AC092045.1,"protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000162290,None,None,None,
ENSG00000271976,ENSG00000271976,AC012467.2,"novel transcript, antisense to IL17RB","ARRAYEXPRESS,ENSG"
ENSG00000272182,ENSG00000272182,AC135507.1,"novel transcript, antisense to PDHB","ARRAYEXPRESS,ENSG"
ENSG00000226360,ENSG00000226360,RPL10AP6,ribosomal protein L10a pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36504],"ARRAYEXPRESS,ENSG"
ENSG00000243410,ENSG00000243410,PSMD6-AS1,PSMD6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40480],"ARRAYEXPRESS,ENSG"
ENSG00000270059,ENSG00000270059,AC121493.1,"novel transcript, intronic to MAGI1","ARRAYEXPRESS,ENSG"
ENSG00000241506,ENSG00000241506,PSMC1P1,"proteasome 26S subunit, ATPase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30147]","ARRAYEXPRESS,ENSG"
ENSG00000244513,ENSG00000244513,AC109587.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000270562,ENSG00000270562,AC097634.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000242960,ENSG00000242960,FTH1P23,ferritin heavy chain 1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:37641],"ARRAYEXPRESS,ENSG"
ENSG00000213300,ENSG00000213300,HNRNPA3P6,heterogeneous nuclear ribonucleoprotein A3 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:48495],"ARRAYEXPRESS,ENSG"
ENSG00000229729,None,None,None,
ENSG00000243547,ENSG00000243547,HNRNPKP4,heterogeneous nuclear ribonucleoprotein K pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42377],"ARRAYEXPRESS,ENSG"
ENSG00000233280,None,None,None,
ENSG00000273374,ENSG00000273374,AC069222.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273488,None,None,None,
ENSG00000242299,ENSG00000242299,AC073861.1,ribosomal protein S18 (RPS18) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000244119,ENSG00000244119,PDCL3P4,PDCL3 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44505],"ARRAYEXPRESS,ENSG"
ENSG00000242759,ENSG00000242759,LINC00882,long intergenic non-protein coding RNA 882 [Source:HGNC Symbol;Acc:HGNC:48568],"ARRAYEXPRESS,ENSG"
ENSG00000241218,ENSG00000241218,AC063944.2,citrate synthase (CS) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000244720,ENSG00000244720,AC055748.1,"5'-nucleotidase, cytosolic III (NT5C3) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000272761,None,None,None,
ENSG00000241889,ENSG00000241889,AC079944.2,dullard homolog (Xenopus laevis) (DULLARD) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000259976,ENSG00000259976,AC093010.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000242622,ENSG00000242622,AC092910.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272947,None,None,None,
ENSG00000241278,ENSG00000241278,ENPP7P4,ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:48687],"ARRAYEXPRESS,ENSG"
ENSG00000244300,ENSG00000244300,GATA2-AS1,GATA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51108],"ARRAYEXPRESS,ENSG"
ENSG00000261159,ENSG00000261159,AC112484.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000231305,ENSG00000231305,AC112484.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273174,ENSG00000273174,AC108673.2,"novel transcript, antisense to RAB43","ARRAYEXPRESS,ENSG"
ENSG00000273437,ENSG00000273437,AC108673.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000206417,ENSG00000206417,H1FX-AS1,H1FX antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27953],"ARRAYEXPRESS,ENSG"
ENSG00000203644,ENSG00000203644,AC083799.1,"novel transcript, sense intronic to TMCC1","ARRAYEXPRESS,ENSG"
ENSG00000253540,ENSG00000253540,FAM86HP,"family with sequence similarity 86 member H, pseudogene [Source:HGNC Symbol;Acc:HGNC:42359]","ARRAYEXPRESS,ENSG"
ENSG00000228252,ENSG00000228252,COL6A4P2,collagen type VI alpha 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38501],"ARRAYEXPRESS,ENSG"
ENSG00000261167,ENSG00000261167,AC107027.3,"novel transcript, overlapping to MRPL3","ARRAYEXPRESS,ENSG"
ENSG00000221972,None,None,None,
ENSG00000260633,ENSG00000260633,AC010207.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273486,ENSG00000273486,AC096992.2,"novel transcript, antisense to SLC35G2","ARRAYEXPRESS,ENSG"
ENSG00000239213,ENSG00000239213,NCK1-DT,NCK1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:49645],"ARRAYEXPRESS,ENSG"
ENSG00000240668,ENSG00000240668,KRT8P36,keratin 8 pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:39870],"ARRAYEXPRESS,ENSG"
ENSG00000272565,None,None,None,
ENSG00000241679,ENSG00000241679,AC018450.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000244171,ENSG00000244171,PBX2P1,PBX homeobox 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8635],"ARRAYEXPRESS,ENSG"
ENSG00000261051,ENSG00000261051,AC107021.2,"novel transcript, overlapping to PLOD2","ARRAYEXPRESS,ENSG"
ENSG00000232013,None,None,None,
ENSG00000268175,None,None,None,
ENSG00000243305,ENSG00000243305,AC026347.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000241732,None,None,None,
ENSG00000272990,ENSG00000272990,AC084036.1,"novel transcript, antisense to KCNAB1","ARRAYEXPRESS,ENSG"
ENSG00000243926,ENSG00000243926,TIPARP-AS1,TIPARP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41028],"ARRAYEXPRESS,ENSG"
ENSG00000230457,ENSG00000230457,PA2G4P4,proliferation-associated 2G4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:32217],"ARRAYEXPRESS,ENSG"
ENSG00000241135,ENSG00000241135,LINC00881,long intergenic non-protein coding RNA 881 [Source:HGNC Symbol;Acc:HGNC:48567],"ARRAYEXPRESS,ENSG"
ENSG00000243176,ENSG00000243176,AC092944.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272087,ENSG00000272087,AC080013.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000240207,ENSG00000240207,AC080013.1,"novel transcript, antisense to RARRES1","ARRAYEXPRESS,ENSG"
ENSG00000271778,ENSG00000271778,AC080013.3,"novel transcript, sense intronic to MFSD1","ARRAYEXPRESS,ENSG"
ENSG00000250588,None,None,None,
ENSG00000229320,ENSG00000229320,KRT8P12,keratin 8 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:28057],"ARRAYEXPRESS,ENSG"
ENSG00000260572,ENSG00000260572,AC069224.2,"novel transcript, antisense to PPM1L","ARRAYEXPRESS,ENSG"
ENSG00000234851,ENSG00000234851,RPL23AP42,ribosomal protein L23a pseudogene 42 [Source:HGNC Symbol;Acc:HGNC:35942],"ARRAYEXPRESS,ENSG"
ENSG00000213178,ENSG00000213178,RPL22P1,ribosomal protein L22 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17998],"ARRAYEXPRESS,ENSG"
ENSG00000269984,ENSG00000269984,AC078795.1,"novel transcript, antisense to MYNN","ARRAYEXPRESS,ENSG"
ENSG00000270096,ENSG00000270096,AC078795.2,"novel transcript, antisense to LRRC34","ARRAYEXPRESS,ENSG"
ENSG00000273193,None,None,None,
ENSG00000240429,ENSG00000240429,LRRFIP1P1,LRR binding FLII interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32937],"ARRAYEXPRESS,ENSG"
ENSG00000273190,None,None,None,
ENSG00000269728,None,None,None,
ENSG00000242539,ENSG00000242539,AC007620.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000145075,ENSG00000145075,CCDC39,coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244],"ARRAYEXPRESS,ENSG"
ENSG00000273261,ENSG00000273261,AC092953.2,"novel transcript, antisense to ATP11B","ARRAYEXPRESS,ENSG"
ENSG00000243368,ENSG00000243368,MCCC1-AS1,MCCC1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40366],"ARRAYEXPRESS,ENSG"
ENSG00000233885,ENSG00000233885,YEATS2-AS1,YEATS2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41101],"ARRAYEXPRESS,ENSG"
ENSG00000228205,ENSG00000228205,AC131235.2,ribosomal protein S3 (RPS3) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000229638,ENSG00000229638,RPL4P4,ribosomal protein L4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:36179],"ARRAYEXPRESS,ENSG"
ENSG00000263826,ENSG00000263826,AC112907.3,"novel transcript, antisense to eukaryotic translation initiation factor 4A, isoform 2 EIF4A2","ARRAYEXPRESS,ENSG"
ENSG00000223803,ENSG00000223803,RPS20P14,ribosomal protein S20 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:36692],"ARRAYEXPRESS,ENSG"
ENSG00000203632,None,None,None,
ENSG00000223401,None,None,None,
ENSG00000232874,ENSG00000232874,AC080129.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000225742,ENSG00000225742,LINC02036,long intergenic non-protein coding RNA 2036 [Source:HGNC Symbol;Acc:HGNC:52876],"ARRAYEXPRESS,ENSG"
ENSG00000233058,ENSG00000233058,LINC00884,long intergenic non-protein coding RNA 884 [Source:HGNC Symbol;Acc:HGNC:48570],"ARRAYEXPRESS,ENSG"
ENSG00000244675,ENSG00000244675,AC108676.1,"novel transcript, sense overlapping to ATP13A3","ARRAYEXPRESS,ENSG"
ENSG00000231770,ENSG00000231770,TMEM44-AS1,TMEM44 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44272],"ARRAYEXPRESS,ENSG"
ENSG00000229334,ENSG00000229334,AC046143.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000229325,ENSG00000229325,ACAP2-IT1,ACAP2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41426],"ARRAYEXPRESS,ENSG"
ENSG00000224769,ENSG00000224769,MUC20P1,"mucin 20, cell surface associated pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51921]","ARRAYEXPRESS,ENSG"
ENSG00000271662,ENSG00000271662,AC233280.2,"protein phosphatase 4, regulatory subunit 2, pseudogene.","ARRAYEXPRESS,ENSG"
ENSG00000229178,ENSG00000229178,AC233280.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000231443,ENSG00000231443,AC124944.1,"protein phosphatase 4, regulatory subunit 2 (PPP4R2) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000260261,ENSG00000260261,AC124944.2,programmed cell death 6 (PDCD6) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000231464,ENSG00000231464,AC024937.2,"protein phosphatase 4, regulatory subunit 2 (PPP4R2) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000225822,ENSG00000225822,UBXN7-AS1,UBXN7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41227],"ARRAYEXPRESS,ENSG"
ENSG00000230732,ENSG00000230732,AC016949.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000249626,ENSG00000249626,AC024560.2,"protein phosphatase 4, regulatory subunit 2 (PPP4R2) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000236833,ENSG00000236833,AC024560.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000248302,ENSG00000248302,BNIP3P41,BCL2 interacting protein 3 pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:49721],"ARRAYEXPRESS,ENSG"
ENSG00000197701,None,None,None,
ENSG00000251188,ENSG00000251188,AC079140.3,novel zinc finger protein pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000272927,ENSG00000272927,AC107464.3,"novel transcript, antisense to PDE6B","ARRAYEXPRESS,ENSG"
ENSG00000272588,ENSG00000272588,AC139887.4,"novel transcript, antisense to PCGF3","ARRAYEXPRESS,ENSG"
ENSG00000251639,ENSG00000251639,AC092535.3,"protein phosphatase 2, regulatory subunit B, delta isoform (PPP2R2D) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000227189,ENSG00000227189,AC092535.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273179,ENSG00000273179,AC092535.5,"novel transcript, antisense to SPON2","ARRAYEXPRESS,ENSG"
ENSG00000196810,ENSG00000196810,CTBP1-DT,CTBP1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:28307],"ARRAYEXPRESS,ENSG"
ENSG00000179979,None,None,None,
ENSG00000244459,ENSG00000244459,AC147067.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000270195,ENSG00000270195,AC016773.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000218422,None,None,None,
ENSG00000249673,ENSG00000249673,NOP14-AS1,NOP14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:20205],"ARRAYEXPRESS,ENSG"
ENSG00000261643,None,None,None,
ENSG00000250986,ENSG00000250986,LINC02600,long intergenic non-protein coding RNA 2600 [Source:HGNC Symbol;Acc:HGNC:53177],"ARRAYEXPRESS,ENSG"
ENSG00000245468,ENSG00000245468,LINC02447,long intergenic non-protein coding RNA 2447 [Source:HGNC Symbol;Acc:HGNC:53379],"ARRAYEXPRESS,ENSG"
ENSG00000251615,ENSG00000251615,AC104825.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000205959,ENSG00000205959,AC105345.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000250942,ENSG00000250942,ENPP7P11,ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:48694],"ARRAYEXPRESS,ENSG"
ENSG00000261490,ENSG00000261490,AC005674.2,"novel transcript, overlapping WDR1","ARRAYEXPRESS,ENSG"
ENSG00000249863,ENSG00000249863,AC021106.1,"synaptotagmin binding, cytoplasmic RNA interacting protein (SYNCRIP) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000231160,ENSG00000231160,KLF3-AS1,KLF3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25796],"ARRAYEXPRESS,ENSG"
ENSG00000196355,None,None,None,
ENSG00000255458,ENSG00000255458,AC108471.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260296,ENSG00000260296,AC095057.3,"novel transcript, overlapping N4BP2","ARRAYEXPRESS,ENSG"
ENSG00000250893,ENSG00000250893,AC098869.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000250906,ENSG00000250906,AC131953.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273369,ENSG00000273369,AC096586.2,"novel transcript, antisense to GUF1","ARRAYEXPRESS,ENSG"
ENSG00000249936,ENSG00000249936,RAC1P2,Rac family small GTPase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31414],"ARRAYEXPRESS,ENSG"
ENSG00000248254,ENSG00000248254,AC107398.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000259959,ENSG00000259959,AC107068.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000272576,ENSG00000272576,AC027271.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000269921,ENSG00000269921,AC068620.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000270147,ENSG00000270147,AC068620.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000243199,ENSG00000243199,AC115223.1,ribosomal protein L6 (RPL6) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000272986,ENSG00000272986,AC009570.1,"novel transcript, antisense to RUFY3","ARRAYEXPRESS,ENSG"
ENSG00000251442,ENSG00000251442,LINC01094,long intergenic non-protein coding RNA 1094 [Source:HGNC Symbol;Acc:HGNC:49219],"ARRAYEXPRESS,ENSG"
ENSG00000273156,ENSG00000273156,AC124016.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000261496,None,None,None,
ENSG00000251411,ENSG00000251411,AC093827.3,"actin related protein 2/3 complex, subunit 1A, 41kDa (ARPC1A) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000235043,ENSG00000235043,TECRP1,"trans-2,3-enoyl-CoA reductase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44050]","ARRAYEXPRESS,ENSG"
ENSG00000183199,ENSG00000183199,HSP90AB3P,"heat shock protein 90 alpha family class B member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:5259]","ARRAYEXPRESS,ENSG"
ENSG00000271359,None,None,None,
ENSG00000187653,ENSG00000187653,TMSB4XP8,TMSB4X pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:11885],"ARRAYEXPRESS,ENSG"
ENSG00000271474,ENSG00000271474,AC106881.1,"novel transcript, antisense to UNC5C","ARRAYEXPRESS,ENSG"
ENSG00000260641,ENSG00000260641,AC114811.2,"novel transcript, antisense TSPAN5","ARRAYEXPRESS,ENSG"
ENSG00000272777,ENSG00000272777,AC019131.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000245322,ENSG00000245322,H2AZ1-DT,H2AZ1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:40271],"ARRAYEXPRESS,ENSG"
ENSG00000248971,ENSG00000248971,KRT8P46,keratin 8 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:39880],"ARRAYEXPRESS,ENSG"
ENSG00000249264,ENSG00000249264,EEF1A1P9,eukaryotic translation elongation factor 1 alpha 1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:3204],"ARRAYEXPRESS,ENSG"
ENSG00000248778,ENSG00000248778,AC105391.1,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 (DDX50) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000250740,ENSG00000250740,AC109361.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000260526,ENSG00000260526,AC109347.1,"novel transcript, antisense to AP1AR","ARRAYEXPRESS,ENSG"
ENSG00000241741,ENSG00000241741,RPL7AP30,ribosomal protein L7a pseudogene 30 [Source:HGNC Symbol;Acc:HGNC:35757],"ARRAYEXPRESS,ENSG"
ENSG00000196656,ENSG00000196656,AC004057.1,ribosomal protein S26 (RPS26) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000260404,ENSG00000260404,AC110079.1,general transcription factor IIi (GTF2I) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000225892,None,None,None,
ENSG00000248213,ENSG00000248213,CICP16,capicua transcriptional repressor pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:38550],"ARRAYEXPRESS,ENSG"
ENSG00000260091,ENSG00000260091,AC093752.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000273007,ENSG00000273007,AC021205.3,"novel transcript, antisense to FGF2","ARRAYEXPRESS,ENSG"
ENSG00000248187,ENSG00000248187,AC078850.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000179967,ENSG00000179967,PPP1R14BP3,protein phosphatase 1 regulatory inhibitor subunit 14B pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16330],"ARRAYEXPRESS,ENSG"
ENSG00000273247,ENSG00000273247,AC097376.3,"novel transcript, antisense to RAB33B","ARRAYEXPRESS,ENSG"
ENSG00000273472,ENSG00000273472,AC096733.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000243175,ENSG00000243175,RPSAP36,ribosomal protein SA pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:35727],"ARRAYEXPRESS,ENSG"
ENSG00000260303,ENSG00000260303,AC108206.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000270681,ENSG00000270681,AC095055.1,"novel transcript, antisense to SH3D19","ARRAYEXPRESS,ENSG"
ENSG00000251603,None,None,None,
ENSG00000251455,ENSG00000251455,AC092611.1,"novel transcript, antisense to PET112L","ARRAYEXPRESS,ENSG"
ENSG00000260244,ENSG00000260244,AC104083.1,"novel transcript, overlapping GUCY1A3","ARRAYEXPRESS,ENSG"
ENSG00000251429,ENSG00000251429,AC098679.2,"axin interactor, dorsalization associated (AIDA) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000273449,ENSG00000273449,AC093788.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000121089,ENSG00000121089,NACA3P,"NACA family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:33442]","ARRAYEXPRESS,ENSG"
ENSG00000248632,None,None,None,
ENSG00000251596,ENSG00000251596,HADHAP1,HADHA pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4802],"ARRAYEXPRESS,ENSG"
ENSG00000250131,ENSG00000250131,AC078881.1,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000177822,ENSG00000177822,TENM3-AS1,TENM3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28076],"ARRAYEXPRESS,ENSG"
ENSG00000249096,ENSG00000249096,LINC02362,long intergenic non-protein coding RNA 2362 [Source:HGNC Symbol;Acc:HGNC:53284],"ARRAYEXPRESS,ENSG"
ENSG00000270426,ENSG00000270426,AC099343.3,"novel transcript, sense intronic to IRF2","ARRAYEXPRESS,ENSG"
ENSG00000271646,ENSG00000271646,AC099343.4,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000233110,ENSG00000233110,AC093797.1,"novel transcript, antisense to SORBS2","ARRAYEXPRESS,ENSG"
ENSG00000249430,None,None,None,
ENSG00000250848,ENSG00000250848,AC021087.2,"protein phosphatase 4, regulatory subunit 2 (PPP4R2) pseudogene","ARRAYEXPRESS,ENSG"
ENSG00000063438,ENSG00000063438,AHRR,aryl-hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346],"ARRAYEXPRESS,ENSG"
ENSG00000225138,ENSG00000225138,SLC9A3-AS1,SLC9A3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40550],"ARRAYEXPRESS,ENSG"
ENSG00000268885,None,None,None,
ENSG00000251532,ENSG00000251532,AC091849.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000185986,ENSG00000185986,SDHAP3,succinate dehydrogenase complex flavoprotein subunit A pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:18781],"ARRAYEXPRESS,ENSG"
ENSG00000271119,ENSG00000271119,AC026412.3,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000188002,ENSG00000188002,AC026412.1,programmed cell death 6 (PDCD6) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000272520,None,None,None,
ENSG00000259802,ENSG00000259802,AC012640.4,"novel transcript, antisense to MARCH6","ARRAYEXPRESS,ENSG"
ENSG00000272016,None,None,None,
ENSG00000250182,ENSG00000250182,EEF1A1P13,eukaryotic translation elongation factor 1 alpha 1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:3196],"ARRAYEXPRESS,ENSG"
ENSG00000261360,ENSG00000261360,AC010491.1,"novel transcript, antisense to FAM105B","ARRAYEXPRESS,ENSG"
ENSG00000233974,ENSG00000233974,AC138951.1,POM121 membrane glycoprotein (POM121) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000272086,ENSG00000272086,AC025181.2,novel transcript,"ARRAYEXPRESS,ENSG"
ENSG00000240376,ENSG00000240376,AC010343.1,ribosomal protein S8 (RPS8) pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000215158,ENSG00000215158,AC138409.2,Putative beta-glucuronidase-like protein FLJ75287 pseudogene,"ARRAYEXPRESS,ENSG"
ENSG00000245711,ENSG00000245711,NADK2-AS1,NADK2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41143],"ARRAYEXPRESS,ENSG"
